ADDRESS_LA,X,Y
500 S GENOIS ST,3671636.783,535864.8633
515 S GENOIS ST,3671461.587,535833.4961
433 S CLARK ST,3671909.811,535814.4136
3238 BANKS ST,3672837.558,535377.2606
433 S RENDON ST,3672693.267,535343.4147
3015 PALMYRA ST,3673792.467,535387.1359
2914 CLEVELAND AVE,3674150.029,535381.207
119 S WHITE ST,3674715.884,535342.6945
3201 BANKS ST,3673171.412,535378.7767
224 S SCOTT ST,3671445.322,537255.7612
205 S CORTEZ ST,3671706.512,537252.076
4007 BANKS ST,3670735.947,537233.4868
136 S CORTEZ ST,3671906.262,537256.7007
3914 PALMYRA ST,3671114.271,537241.2873
227 S TELEMACHUS ST,3671880.255,536921.3274
305 S CORTEZ ST,3671502.797,536954.6364
326 S SCOTT ST,3671191.3,536953.3516
3901 BANKS ST,3671025.273,536959.6635
4052 BAUDIN ST,3670167.529,536947.1045
3624 CLEVELAND AVE,3672133.373,536924.956
3502 CANAL ST,3672754.012,536923.1363
3721 PALMYRA ST,3671744.584,536909.9535
139 S GENOIS ST,3672307.252,536942.063
128 S GENOIS ST,3672465.663,536897.7308
3200 TULANE AVE,3672536.102,534535.0612
2718 PALMYRA ST,3674660.507,534530.8617
515 S GAYOSO ST,3673236.746,534486.4471
2816 BANKS ST,3673957.027,534524.4514
423 S DUPRÉ ST,3673631.297,534523.3458
3319 GRAVIER ST,3671898.756,534503.2035
624 S RENDON ST,3672245.838,534520.7309
2714 PALMYRA ST,3674682.111,534515.1453
2755 BANKS ST,3674299.832,534508.9769
2812 BANKS ST,3673982.277,534505.5657
500 S GAYOSO ST,3673399.33,534523.0895
301 S BROAD ST,3674734.637,534476.881
504 S GAYOSO ST,3673376.95,534493.0292
3305 GRAVIER ST,3671986.311,534463.5288
435 S DUPRÉ ST,3673591.663,534470.8811
634 S RENDON ST,3672190.276,534478.2876
711 S DUPRÉ ST,3672980.413,533682.3468
726 S GAYOSO ST,3672793.761,533678.7432
707 S DUPRÉ ST,3672994.174,533700.2749
3007 PERDIDO ST,3672557.457,533627.2107
719 S DUPRÉ ST,3672957.528,533648.4906
734 S GAYOSO ST,3672754.567,533634.6927
3001 PERDIDO ST,3672582.613,533613.7064
4032 CANAL ST,3671182.006,538115.1398
115 S SCOTT ST,3671582.743,537706.6461
140 S PIERCE ST,3671306.997,537708.2106
207 S PIERCE ST,3671113.287,537703.8422
3923 CLEVELAND AVE,3671361.705,537671.1138
117 S GENOIS ST,3672413.862,537080.3867
401 S PIERCE ST,3670644.895,537077.8916
3927 BANKS ST,3670889.197,537085.7418
235 S CORTEZ ST,3671575.397,537076.9857
301 S LOPEZ ST,3673309.073,535569.9866
115 S DUPRÉ ST,3674421.476,535556.2071
3109 PALMYRA ST,3673553.502,535567.1207
727 S CORTEZ ST,3670204.918,535444.4266
218 S SALCEDO ST,3673789.963,535557.4948
121 S PIERCE ST,3671304.479,537913.2242
3915 BANKS ST,3670964.088,537026.3686
321 S SCOTT ST,3671126.321,537084.7321
3532 CANAL ST,3672554.647,537062.3806
3517 CLEVELAND AVE,3672534.448,536827.3266
230 S TELEMACHUS ST,3672022.102,536831.0118
500 S TELEMACHUS ST,3671405.368,536043.3415
3934 CANAL ST,3671486.723,537885.5475
4021 CLEVELAND AVE,3671100.357,537865.1936
4033 CLEVELAND AVE,3671021.498,537922.1468
123 S PIERCE ST,3671284.872,537889.2634
4027 CLEVELAND AVE,3671050.789,537901.1864
3917 BAUDIN ST,3670700.526,536692.4351
3702 PALMYRA ST,3671771.228,536745.6871
438 S PIERCE ST,3670593.639,536751.4774
331 S CORTEZ ST,3671366.353,536768.8133
4051 ULLOA ST,3669749.415,536507.3313
3513 PALMYRA ST,3672310.657,536519.0209
438 S SCOTT ST,3670869.307,536539.6992
511 S SCOTT ST,3670663.522,536507.367
3330 CANAL ST,3673295.437,536504.8863
3728 BANKS ST,3671340.686,536503.551
528 S PIERCE ST,3670419.302,536516.6612
326 S TELEMACHUS ST,3671747.758,536545.4513
517 S TELEMACHUS ST,3671234.858,536041.0199
3110 CANAL ST,3673917.898,536043.6466
406 S GENOIS ST,3671788.172,536073.5777
112 S LOPEZ ST,3673818.734,536057.3917
421 S GENOIS ST,3671628.457,536050.2173
618 S SCOTT ST,3670534.068,536052.1218
1800 CANAL ST,3677999.756,532962.2646
1732 CANAL ST,3678174.246,532844.7189
415 S SCOTT ST,3670908.971,536794.7409
231 S GENOIS ST,3672036.691,536727.1508
417 S SCOTT ST,3670891.676,536772.0798
3712 PALMYRA ST,3671740.376,536802.8388
118 S CLARK ST,3672792.325,536793.8145
316 S CORTEZ ST,3671559.124,536784.3493
327 S CORTEZ ST,3671381.803,536791.2157
